Comedian,Comedian_Probability,Footballer,Footballer_Probability,Combined_Probability,Rounded_Probability
Elsie and Doris Waters,0.0018301481716115,Ben Chilwell,0.0008195923213558,1.4999753883961422e-06,1e-06
Caroline Quentin,0.0018301481716115,Calum Chambers,0.0008195923213558,1.4999753883961422e-06,1e-06
Victor Lewis-Smith,0.0018301481716115,Jimmy Ball,0.0008195923213558,1.4999753883961422e-06,1e-06
Victor Lewis-Smith,0.0018301481716115,Raheem Sterling,0.0008195923213558,1.4999753883961422e-06,1e-06
Victor Lewis-Smith,0.0018301481716115,Calum Chambers,0.0008195923213558,1.4999753883961422e-06,1e-06
Tracey Ullman,0.0018301481716115,Jimmy Ball,0.0008195923213558,1.4999753883961422e-06,1e-06
Tracey Ullman,0.0018301481716115,Raheem Sterling,0.0008195923213558,1.4999753883961422e-06,1e-06
Tracey Ullman,0.0018301481716115,Calum Chambers,0.0008195923213558,1.4999753883961422e-06,1e-06
Elsie and Doris Waters,0.0018301481716115,Nathaniel Chalobah,0.0008195923213558,1.4999753883961422e-06,1e-06
Elsie and Doris Waters,0.0018301481716115,Jimmy Ball,0.0008195923213558,1.4999753883961422e-06,1e-06
Caroline Quentin,0.0018301481716115,Ben Chilwell,0.0008195923213558,1.4999753883961422e-06,1e-06
Caroline Quentin,0.0018301481716115,Nathaniel Chalobah,0.0008195923213558,1.4999753883961422e-06,1e-06
Caroline Quentin,0.0018301481716115,Jimmy Ball,0.0008195923213558,1.4999753883961422e-06,1e-06
Caroline Quentin,0.0018301481716115,Raheem Sterling,0.0008195923213558,1.4999753883961422e-06,1e-06
Elsie and Doris Waters,0.0018301481716115,Raheem Sterling,0.0008195923213558,1.4999753883961422e-06,1e-06
Victor Lewis-Smith,0.0018301481716115,Ben Chilwell,0.0008195923213558,1.4999753883961422e-06,1e-06
Elsie and Doris Waters,0.0018301481716115,Calum Chambers,0.0008195923213558,1.4999753883961422e-06,1e-06
James Bachman,0.0018301481716115,Ben Chilwell,0.0008195923213558,1.4999753883961422e-06,1e-06
James Bachman,0.0018301481716115,Nathaniel Chalobah,0.0008195923213558,1.4999753883961422e-06,1e-06
James Bachman,0.0018301481716115,Jimmy Ball,0.0008195923213558,1.4999753883961422e-06,1e-06
James Bachman,0.0018301481716115,Raheem Sterling,0.0008195923213558,1.4999753883961422e-06,1e-06
James Bachman,0.0018301481716115,Calum Chambers,0.0008195923213558,1.4999753883961422e-06,1e-06
Tracey Ullman,0.0018301481716115,Ben Chilwell,0.0008195923213558,1.4999753883961422e-06,1e-06
Tracey Ullman,0.0018301481716115,Nathaniel Chalobah,0.0008195923213558,1.4999753883961422e-06,1e-06
Harry Enfield,0.0018301481716115,Ben Chilwell,0.0008195923213558,1.4999753883961422e-06,1e-06
Harry Enfield,0.0018301481716115,Nathaniel Chalobah,0.0008195923213558,1.4999753883961422e-06,1e-06
Harry Enfield,0.0018301481716115,Jimmy Ball,0.0008195923213558,1.4999753883961422e-06,1e-06
Harry Enfield,0.0018301481716115,Raheem Sterling,0.0008195923213558,1.4999753883961422e-06,1e-06
Victor Lewis-Smith,0.0018301481716115,Nathaniel Chalobah,0.0008195923213558,1.4999753883961422e-06,1e-06
Harry Enfield,0.0018301481716115,Calum Chambers,0.0008195923213558,1.4999753883961422e-06,1e-06
Mark Steel,0.0018301481716115,Jimmy Ball,0.0008195923213558,1.4999753883961422e-06,1e-06
Ricky Gervais,0.0018301481716115,Calum Chambers,0.0008195923213558,1.4999753883961422e-06,1e-06
Ricky Gervais,0.0018301481716115,Jimmy Ball,0.0008195923213558,1.4999753883961422e-06,1e-06
Mark Steel,0.0018301481716115,Nathaniel Chalobah,0.0008195923213558,1.4999753883961422e-06,1e-06
Mark Steel,0.0018301481716115,Ben Chilwell,0.0008195923213558,1.4999753883961422e-06,1e-06
Ricky Gervais,0.0018301481716115,Raheem Sterling,0.0008195923213558,1.4999753883961422e-06,1e-06
Ricky Gervais,0.0018301481716115,Nathaniel Chalobah,0.0008195923213558,1.4999753883961422e-06,1e-06
Mark Steel,0.0018301481716115,Raheem Sterling,0.0008195923213558,1.4999753883961422e-06,1e-06
Ricky Gervais,0.0018301481716115,Ben Chilwell,0.0008195923213558,1.4999753883961422e-06,1e-06
Mark Steel,0.0018301481716115,Calum Chambers,0.0008195923213558,1.4999753883961422e-06,1e-06
Lauren Laverne,0.0010206595572449,Jamie Smith,0.0014690270673436,1.4993765161356925e-06,1e-06
