Name,URL,Type,BirthYear,DeathYear
Aaron Barschak,https://en.wikipedia.org/wiki/Aaron_Barschak,Stand-up comedians,1966,
Abi Roberts,https://en.wikipedia.org/wiki/Abi_Roberts,Stand-up comedians,1976,
Adam Bloom,https://en.wikipedia.org/wiki/Adam_Bloom,Stand-up comedians,1971,
Adam Buxton,https://en.wikipedia.org/wiki/Adam_Buxton,Musical comedians,1969,
Adam Rowe,https://en.wikipedia.org/wiki/Adam_Rowe,Stand-up comedians,1992,
Ade Edmondson,https://en.wikipedia.org/wiki/Ade_Edmondson,Film,,
Adil Ray,https://en.wikipedia.org/wiki/Adil_Ray,Sitcom comedians,1974,
Adrian Edmondson,https://en.wikipedia.org/wiki/Adrian_Edmondson,Sketch show/alternative comedians,1957,
Adrian Scarborough,https://en.wikipedia.org/wiki/Adrian_Scarborough,Comedy double acts,,
Adèle Anderson,https://en.wikipedia.org/wiki/Ad%C3%A8le_Anderson,Musical comedians,1952,
Ahir Shah,https://en.wikipedia.org/wiki/Ahir_Shah,Stand-up comedians,,
Al Murray,https://en.wikipedia.org/wiki/Al_Murray,Stand-up comedians,1968,
Alan Carr,https://en.wikipedia.org/wiki/Alan_Carr,Stand-up comedians,1976,
Alan Coren,https://en.wikipedia.org/wiki/Alan_Coren,Comedy panel game regulars,,
Alan Davies,https://en.wikipedia.org/wiki/Alan_Davies,Comedy panel game regulars,,
Alex Horne,https://en.wikipedia.org/wiki/Alex_Horne,Musical comedians,1978,
Alexander Armstrong,https://en.wikipedia.org/wiki/Alexander_Armstrong,Sketch show/alternative comedians,1970,
Alexei Sayle,https://en.wikipedia.org/wiki/Alexei_Sayle,Sketch show/alternative comedians,1952,
Alistair Barrie,https://en.wikipedia.org/wiki/Alistair_Barrie,Stand-up comedians,,
Alistair McGowan,https://en.wikipedia.org/wiki/Alistair_McGowan,Impressionists,1964,
Amelia Dimoldenberg,https://en.wikipedia.org/wiki/Amelia_Dimoldenberg,Blog and internet humourists,,
Andi Osho,https://en.wikipedia.org/wiki/Andi_Osho,Stand-up comedians,1973,
Andre Vincent,https://en.wikipedia.org/wiki/Andre_Vincent,Stand-up comedians,1964,
Andrew Lawrence,https://en.wikipedia.org/wiki/Andrew_Lawrence_(comedian),Stand-up comedians,1979,
Andrew O'Neill,https://en.wikipedia.org/wiki/Andrew_O%27Neill,Stand-up comedians,1979,
Andy Hamilton,https://en.wikipedia.org/wiki/Andy_Hamilton,Comedy panel game regulars,,
Andy Parsons,https://en.wikipedia.org/wiki/Andy_Parsons,Comedy panel game regulars,,
Andy Zaltzman,https://en.wikipedia.org/wiki/Andy_Zaltzman,Stand-up comedians,1974,
Angela Barnes,https://en.wikipedia.org/wiki/Angela_Barnes,Stand-up comedians,1976,
Angus Deayton,https://en.wikipedia.org/wiki/Angus_Deayton,Comedy panel game regulars,1956,
Anil Gupta,https://en.wikipedia.org/wiki/Anil_Gupta_(writer),Sketch show/alternative comedians,,
Anjana Vasan,https://en.wikipedia.org/wiki/Anjana_Vasan,Sitcom comedians,1987,
Anne Reid,https://en.wikipedia.org/wiki/Anne_Reid,Sitcom comedians,1935,
Anthony McPartlin,https://en.wikipedia.org/wiki/Anthony_McPartlin,Comedy double acts,,
Arabella Weir,https://en.wikipedia.org/wiki/Arabella_Weir,Sketch show/alternative comedians,1957,
