Name,URL,Type,BirthYear,DeathYear,PageLength,Age,Gender,Birthplace,BirthplaceLat,BirthplaceLon,DistanceFromTeddington
Aaron Barschak,https://en.wikipedia.org/wiki/Aaron_Barschak,Stand-up comedians,1966,,3822,59.0,Male,Southwark,51.5061349,-0.1011379,18.36
Abi Roberts,https://en.wikipedia.org/wiki/Abi_Roberts,Stand-up comedians,1976,,2654,49.0,Female,,,,
Adam Bloom,https://en.wikipedia.org/wiki/Adam_Bloom,Stand-up comedians,1971,,1865,54.0,Male,"Richmond-upon-Thames, England",51.4405529,-0.3076394,2.4
Adam Buxton,https://en.wikipedia.org/wiki/Adam_Buxton,Musical comedians,1969,,14201,56.0,Male,Shepherd's Bush,51.5053155,-0.2229856,11.7
Adam Rowe,https://en.wikipedia.org/wiki/Adam_Rowe,Stand-up comedians,1992,,5113,33.0,Male,,,,
Ade Edmondson,https://en.wikipedia.org/wiki/Ade_Edmondson,Film,,,22435,,Male,Bradford,53.7944229,-1.7519186,280.74
Adil Ray,https://en.wikipedia.org/wiki/Adil_Ray,Sitcom comedians,1974,,16473,51.0,Male,"Birmingham, England",52.4796992,-1.9026911,159.58
Adrian Edmondson,https://en.wikipedia.org/wiki/Adrian_Edmondson,Sketch show/alternative comedians,1957,,22435,68.0,Male,Bradford,53.7944229,-1.7519186,280.74
Adrian Scarborough,https://en.wikipedia.org/wiki/Adrian_Scarborough,Comedy double acts,,,6397,,Male,"Melton Mowbray, Leicestershire",52.7645663,-0.8868896,153.91
Adèle Anderson,https://en.wikipedia.org/wiki/Ad%C3%A8le_Anderson,Musical comedians,1952,,5281,73.0,Female,"Southampton, Hampshire, England",50.8995203,-1.3275406,90.96
Ahir Shah,https://en.wikipedia.org/wiki/Ahir_Shah,Stand-up comedians,,,6599,,Male,"London, England, UK",51.5074456,-0.1277653,16.85
Al Murray,https://en.wikipedia.org/wiki/Al_Murray,Stand-up comedians,1968,,21040,57.0,Male,"Stewkley, Buckinghamshire, England",51.920104,-0.7658087,62.83
Alan Carr,https://en.wikipedia.org/wiki/Alan_Carr,Stand-up comedians,1976,,13919,49.0,Male,Weymouth,50.6096257,-2.4543424,174.42
Alan Coren,https://en.wikipedia.org/wiki/Alan_Coren,Comedy panel game regulars,,,8145,,Male,"London, England",51.5074456,-0.1277653,16.85
Alan Davies,https://en.wikipedia.org/wiki/Alan_Davies,Comedy panel game regulars,,,17755,,Male,"Loughton, Essex",51.6467058,0.0544098,36.41
Alex Horne,https://en.wikipedia.org/wiki/Alex_Horne,Musical comedians,1978,,12328,47.0,Male,"Chichester, West Sussex, England",50.8364862,-0.7791721,72.55
Alexander Armstrong,https://en.wikipedia.org/wiki/Alexander_Armstrong,Sketch show/alternative comedians,1970,,26950,55.0,Male,Rothbury,55.309632,-1.9117293,444.99
Alexei Sayle,https://en.wikipedia.org/wiki/Alexei_Sayle,Sketch show/alternative comedians,1952,,26155,73.0,Male,"Anfield, Liverpool",53.4309164,-2.9609314,286.08
Alistair Barrie,https://en.wikipedia.org/wiki/Alistair_Barrie,Stand-up comedians,,,2114,,Male,,,,
