Name,URL,Type,BirthYear,DeathYear
Terry Alderton,https://en.wikipedia.org/wiki/Terry_Alderton,Impressionists,1970,
Ronni Ancona,https://en.wikipedia.org/wiki/Ronni_Ancona,Impressionists,1966,
Chris Barrie,https://en.wikipedia.org/wiki/Chris_Barrie,Impressionists,1960,
Stanley Baxter,https://en.wikipedia.org/wiki/Stanley_Baxter,Impressionists,1926,
Rory Bremner,https://en.wikipedia.org/wiki/Rory_Bremner,Impressionists,1961,
Faith Brown,https://en.wikipedia.org/wiki/Faith_Brown,Impressionists,1944,
Paul Burling,https://en.wikipedia.org/wiki/Paul_Burling,Impressionists,1969,
Brian Conley,https://en.wikipedia.org/wiki/Brian_Conley,Impressionists,1961,
Kevin Connelly,https://en.wikipedia.org/wiki/Kevin_Connelly,Impressionists,,
Phil Cool,https://en.wikipedia.org/wiki/Phil_Cool,Impressionists,1948,
Jon Culshaw,https://en.wikipedia.org/wiki/Jon_Culshaw,Impressionists,1968,
Bobby Davro,https://en.wikipedia.org/wiki/Bobby_Davro,Impressionists,1958,
Dawn French,https://en.wikipedia.org/wiki/Dawn_French,Impressionists,1957,
Matt Forde,https://en.wikipedia.org/wiki/Matt_Forde,Impressionists,1982,
Peter Goodwright,https://en.wikipedia.org/wiki/Peter_Goodwright,Impressionists,1936,2020
Mike Hayley,https://en.wikipedia.org/wiki/Mike_Hayley,Impressionists,,
Dave Lamb,https://en.wikipedia.org/wiki/Dave_Lamb,Impressionists,,
Alistair McGowan,https://en.wikipedia.org/wiki/Alistair_McGowan,Impressionists,1964,
Mark Perry,https://en.wikipedia.org/wiki/Mark_Perry_(impressionist),Impressionists,,
Jan Ravens,https://en.wikipedia.org/wiki/Jan_Ravens,Impressionists,1958,
Morgana Robinson,https://en.wikipedia.org/wiki/Morgana_Robinson,Impressionists,1982,
Jennifer Saunders,https://en.wikipedia.org/wiki/Jennifer_Saunders,Impressionists,1958,
Debra Stephenson,https://en.wikipedia.org/wiki/Debra_Stephenson,Impressionists,1972,
Tracey Ullman,https://en.wikipedia.org/wiki/Tracey_Ullman,Impressionists,1959,
Mike Yarwood,https://en.wikipedia.org/wiki/Mike_Yarwood,Impressionists,1941,2023
Adèle Anderson,https://en.wikipedia.org/wiki/Ad%C3%A8le_Anderson,Musical comedians,1952,
Bill Bailey,https://en.wikipedia.org/wiki/Bill_Bailey,Musical comedians,1965,
Les Barker,https://en.wikipedia.org/wiki/Les_Barker,Musical comedians,1947,
Mitch Benn,https://en.wikipedia.org/wiki/Mitch_Benn,Musical comedians,1970,
Ivor Biggun,https://en.wikipedia.org/wiki/Doc_Cox,Musical comedians,1946,
Harriet Braine,https://en.wikipedia.org/wiki/Harriet_Braine,Musical comedians,,
Simon Brint,https://en.wikipedia.org/wiki/Simon_Brint,Musical comedians,1950,
Doc Brown,https://en.wikipedia.org/wiki/Doc_Brown_(rapper),Musical comedians,1980,
Alex Horne,https://en.wikipedia.org/wiki/Alex_Horne,Musical comedians,1978,
Adam Buxton,https://en.wikipedia.org/wiki/Adam_Buxton,Musical comedians,1969,
Jasper Carrott,https://en.wikipedia.org/wiki/Jasper_Carrott,Musical comedians,1945,
Edwyn Collins,https://en.wikipedia.org/wiki/Edwyn_Collins,Musical comedians,1959,
Billy Connolly,https://en.wikipedia.org/wiki/Billy_Connolly,Musical comedians,1942,
Bernard Cribbins,https://en.wikipedia.org/wiki/Bernard_Cribbins,Musical comedians,1928,2022
Ivor Cutler,https://en.wikipedia.org/wiki/Ivor_Cutler,Musical comedians,1923,2006
Angus Deayton,https://en.wikipedia.org/wiki/Angus_Deayton,Musical comedians,1956,
Richard Digance,https://en.wikipedia.org/wiki/Richard_Digance,Musical comedians,1949,
Adrian Edmondson,https://en.wikipedia.org/wiki/Adrian_Edmondson,Musical comedians,1957,
Graham Fellows,https://en.wikipedia.org/wiki/Graham_Fellows,Musical comedians,1959,
Noel Fielding,https://en.wikipedia.org/wiki/Noel_Fielding,Musical comedians,1973,
Flanders and Swann,https://en.wikipedia.org/wiki/Flanders_and_Swann,Musical comedians,1922,1975
Flo and Joan,https://en.wikipedia.org/wiki/Flo_and_Joan,Musical comedians,,
Jay Foreman,https://en.wikipedia.org/wiki/Jay_Foreman_(comedian),Musical comedians,,
Boothby Graffoe,https://en.wikipedia.org/wiki/Boothby_Graffoe_(comedian),Musical comedians,1962,
John Hegley,https://en.wikipedia.org/wiki/John_Hegley,Musical comedians,1953,
Rainer Hersch,https://en.wikipedia.org/wiki/Rainer_Hersch,Musical comedians,,
Hinge and Bracket,https://en.wikipedia.org/wiki/Hinge_and_Bracket,Musical comedians,,
Neil Innes,https://en.wikipedia.org/wiki/Neil_Innes,Musical comedians,1944,2019
Sid Kipper,https://en.wikipedia.org/wiki/Chris_Sugden,Musical comedians,,
Andrew Lawrence,https://en.wikipedia.org/wiki/Andrew_Lawrence_(comedian),Musical comedians,,
Gary Le Strange,https://en.wikipedia.org/wiki/Gary_Le_Strange,Musical comedians,1971,
Tim Minchin,https://en.wikipedia.org/wiki/Tim_Minchin,Musical comedians,1975,
Bill Oddie,https://en.wikipedia.org/wiki/Bill_Oddie,Musical comedians,1941,
Earl Okin,https://en.wikipedia.org/wiki/Earl_Okin,Musical comedians,1947,
Kev Orkian,https://en.wikipedia.org/wiki/Kev_Orkian,Musical comedians,1974,
Mike Harding,https://en.wikipedia.org/wiki/Mike_Harding,Musical comedians,1944,
Rachel Parris,https://en.wikipedia.org/wiki/Rachel_Parris,Musical comedians,1984,
Philip Pope,https://en.wikipedia.org/wiki/Philip_Pope,Musical comedians,,
Rowland Rivron,https://en.wikipedia.org/wiki/Rowland_Rivron,Musical comedians,1958,
Chris Sievey,https://en.wikipedia.org/wiki/Chris_Sievey,Musical comedians,1955,2010
Vivian Stanshall,https://en.wikipedia.org/wiki/Vivian_Stanshall,Musical comedians,1943,1995
Jim Tavaré,https://en.wikipedia.org/wiki/Jim_Tavar%C3%A9,Musical comedians,1963,
Jake Thackray,https://en.wikipedia.org/wiki/Jake_Thackray,Musical comedians,1938,2002
Victoria Wood,https://en.wikipedia.org/wiki/Victoria_Wood,Musical comedians,1953,2016
Chesney Allen,https://en.wikipedia.org/wiki/Chesney_Allen,Variety and music hall comedians,1893,1982
Arthur Askey,https://en.wikipedia.org/wiki/Arthur_Askey,Variety and music hall comedians,1900,1982
Charles Austin,https://en.wikipedia.org/wiki/Charles_Austin_(comedian),Variety and music hall comedians,1878,1942
Hylda Baker,https://en.wikipedia.org/wiki/Hylda_Baker,Variety and music hall comedians,1905,1986
Michael Barrymore,https://en.wikipedia.org/wiki/Michael_Barrymore,Variety and music hall comedians,1952,
George Beauchamp,https://en.wikipedia.org/wiki/George_Beauchamp_(music_hall),Variety and music hall comedians,1862,1900
Harry Bedford,https://en.wikipedia.org/wiki/Harry_Bedford_(music_hall),Variety and music hall comedians,1873,1939
Billy Bennett,https://en.wikipedia.org/wiki/Billy_Bennett_(comedian),Variety and music hall comedians,1887,1942
Issy Bonn,https://en.wikipedia.org/wiki/Issy_Bonn,Variety and music hall comedians,1903,1977
Max Bygraves,https://en.wikipedia.org/wiki/Max_Bygraves,Variety and music hall comedians,1922,2012
Frank Carson,https://en.wikipedia.org/wiki/Frank_Carson,Variety and music hall comedians,1926,2012
Billy Caryll and Hilda Mundy,https://en.wikipedia.org/wiki/Billy_Caryll_and_Hilda_Mundy,Variety and music hall comedians,,
Roy Castle,https://en.wikipedia.org/wiki/Roy_Castle,Variety and music hall comedians,1932,1994
Clapham and Dwyer,https://en.wikipedia.org/wiki/Clapham_and_Dwyer,Variety and music hall comedians,,
Collinson and Dean,https://en.wikipedia.org/wiki/Collinson_and_Dean,Variety and music hall comedians,,
Tommy Cooper,https://en.wikipedia.org/wiki/Tommy_Cooper,Variety and music hall comedians,1921,1984
Tom Costello,https://en.wikipedia.org/wiki/Tom_Costello_(music_hall),Variety and music hall comedians,1863,1943
Jimmy Cricket,https://en.wikipedia.org/wiki/Jimmy_Cricket,Variety and music hall comedians,1945,
Leslie Crowther,https://en.wikipedia.org/wiki/Leslie_Crowther,Variety and music hall comedians,1933,1996
Billy Danvers,https://en.wikipedia.org/wiki/Billy_Danvers,Variety and music hall comedians,1886,1964
Les Dawson,https://en.wikipedia.org/wiki/Les_Dawson,Variety and music hall comedians,1931,1993
Ken Dodd,https://en.wikipedia.org/wiki/Ken_Dodd,Variety and music hall comedians,1927,2018
Charlie Drake,https://en.wikipedia.org/wiki/Charlie_Drake,Variety and music hall comedians,1925,2006
Dick Emery,https://en.wikipedia.org/wiki/Dick_Emery,Variety and music hall comedians,1915,1983
Will Evans,https://en.wikipedia.org/wiki/Will_Evans_(comedian),Variety and music hall comedians,1866,1931
Fayne and Evans,https://en.wikipedia.org/wiki/Fayne_and_Evans,Variety and music hall comedians,,
Sid Field,https://en.wikipedia.org/wiki/Sid_Field,Variety and music hall comedians,1904,1950
Bud Flanagan,https://en.wikipedia.org/wiki/Bud_Flanagan,Variety and music hall comedians,1896,1968
Cyril Fletcher,https://en.wikipedia.org/wiki/Cyril_Fletcher,Variety and music hall comedians,1913,2005
George Formby,https://en.wikipedia.org/wiki/George_Formby,Variety and music hall comedians,1904,1961
Bruce Forsyth,https://en.wikipedia.org/wiki/Bruce_Forsyth,Variety and music hall comedians,1928,2017
Ken Goodwin,https://en.wikipedia.org/wiki/Ken_Goodwin_(comedian),Variety and music hall comedians,1933,2012
Haver and Lee,https://en.wikipedia.org/wiki/Haver_and_Lee,Variety and music hall comedians,,
Arthur Haynes,https://en.wikipedia.org/wiki/Arthur_Haynes,Variety and music hall comedians,1914,1966
Dick Henderson,https://en.wikipedia.org/wiki/Dick_Henderson,Variety and music hall comedians,1891,1958
Dickie Henderson,https://en.wikipedia.org/wiki/Dickie_Henderson,Variety and music hall comedians,1922,1985
Frankie Howerd,https://en.wikipedia.org/wiki/Frankie_Howerd,Variety and music hall comedians,1917,1992
Rex Jameson,https://en.wikipedia.org/wiki/Rex_Jameson,Variety and music hall comedians,1924,1983
Yootha Joyce,https://en.wikipedia.org/wiki/Yootha_Joyce,Variety and music hall comedians,1927,1980
Jimmy James,https://en.wikipedia.org/wiki/Jimmy_James_(comedian),Variety and music hall comedians,1892,1965
Kenway and Young,https://en.wikipedia.org/wiki/Kenway_and_Young,Variety and music hall comedians,,
Jimmy Learmouth,https://en.wikipedia.org/wiki/Jimmy_Learmouth,Variety and music hall comedians,1888,1921
Ray Martine,https://en.wikipedia.org/wiki/Ray_Martine,Variety and music hall comedians,1928,2002
Bill Maynard,https://en.wikipedia.org/wiki/Bill_Maynard,Variety and music hall comedians,1928,2018
Max Miller,https://en.wikipedia.org/wiki/Max_Miller_(comedian),Variety and music hall comedians,1894,1963
Spike Milligan,https://en.wikipedia.org/wiki/Spike_Milligan,Variety and music hall comedians,1918,2002
Nat Mills and Bobbie,https://en.wikipedia.org/wiki/Nat_Mills_and_Bobbie,Variety and music hall comedians,,
Bob Monkhouse,https://en.wikipedia.org/wiki/Bob_Monkhouse,Variety and music hall comedians,1928,2003
Morecambe and Wise,https://en.wikipedia.org/wiki/Morecambe_and_Wise,Variety and music hall comedians,1926,1984
Dave Morris,https://en.wikipedia.org/wiki/Dave_Morris_(comedian),Variety and music hall comedians,1896,1960
Murray and Mooney,https://en.wikipedia.org/wiki/Murray_and_Mooney,Variety and music hall comedians,,
Des O'Connor,https://en.wikipedia.org/wiki/Des_O%27Connor,Variety and music hall comedians,1932,2020
Tom O'Connor,https://en.wikipedia.org/wiki/Tom_O%27Connor_(comedian),Variety and music hall comedians,1939,2021
Edmund Payne,https://en.wikipedia.org/wiki/Edmund_Payne,Variety and music hall comedians,1863,1914
Frank Randle,https://en.wikipedia.org/wiki/Frank_Randle,Variety and music hall comedians,1901,1957
Revnell and West,https://en.wikipedia.org/wiki/Revnell_and_West,Variety and music hall comedians,,
Ted Rogers,https://en.wikipedia.org/wiki/Ted_Rogers_(comedian),Variety and music hall comedians,1935,2001
George Roper,https://en.wikipedia.org/wiki/George_Roper,Variety and music hall comedians,1934,2003
Billy Russell,https://en.wikipedia.org/wiki/Billy_Russell_(comedian),Variety and music hall comedians,1893,1971
Suzette Tarri,https://en.wikipedia.org/wiki/Suzette_Tarri,Variety and music hall comedians,1881,1955
Tommy Trinder,https://en.wikipedia.org/wiki/Tommy_Trinder,Variety and music hall comedians,1908,1989
Vesta Victoria,https://en.wikipedia.org/wiki/Vesta_Victoria,Variety and music hall comedians,1873,1951
Max Wall,https://en.wikipedia.org/wiki/Max_Wall,Variety and music hall comedians,1908,1990
