Name,URL,YearStarted,YearEnded,Position,SquadHistory,IsActive
Alan A'Court,https://fbref.com/en/players/583956a3/Alan-ACourt,1958,,"FW,MF",England,No
Max Aarons,https://fbref.com/en/players/774cf58b/Max-Aarons,2017,2026,DF,"Norwich City, Rangers, Bournemouth, Norwich City U23, Valencia",Yes
Rolando Aarons,https://fbref.com/en/players/c5942695/Rolando-Aarons,2014,2026,MF,"Morecambe, Newcastle United, Huddersfield Town, Slovan Liberec, Wycombe Wanderers, Hellas Verona, Sh",Yes
Godwin Abadaki,https://fbref.com/en/players/71747f18/Godwin-Abadaki,2017,2018,FW,,No
Nathan Abbey,https://fbref.com/en/players/b8f4ec52/Nathan-Abbey,2002,2011,GK,"Boston United, Luton Town, Kettering Town, Torquay United, Brentford, Rushden & Diamonds, Northampto",No
Nelson Abbey,https://fbref.com/en/players/33f40a36/Nelson-Abbey,2020,2026,DF,"Rio Ave, Reading, Reading U23, Olympiacos",Yes
Zema Abbey,https://fbref.com/en/players/d0d26135/Zema-Abbey,2001,2005,FW,"Norwich City, Bradford City, Torquay United, Boston United, Wycombe Wanderers",No
Brad Abbott,https://fbref.com/en/players/d6fa48c0/Brad-Abbott,2014,2020,MF,"Chester, Barnsley, Barrow",No
George Abbott,https://fbref.com/en/players/56628958/George-Abbott,2022,2026,MF,"Wycombe Wanderers, Notts County, Tottenham Hotspur U21",Yes
Zach Abbott,https://fbref.com/en/players/c103921a/Zach-Abbott,2022,2026,DF,"Nottingham Forest U21, Nottingham Forest",Yes
Abdul Abdulmalik,https://fbref.com/en/players/5527647e/Abdul-Abdulmalik,2023,2026,MF,"Boreham Wood, Wealdstone FC",Yes
Gary Abisogun,https://fbref.com/en/players/5e9aa2ef/Gary-Abisogun,2022,2024,FW,,No
Tristan Abldeen Goodridge,https://fbref.com/en/players/564fc3ce/Tristan-Abldeen-Goodridge,2020,2022,MF,Aston Villa U23,No
Tristan Abldeen-Goodridge,https://fbref.com/en/players/500ffeed/Tristan-Abldeen-Goodridge,2021,2022,FW,,No
Gary Ablett,https://fbref.com/en/players/ab708080/Gary-Ablett,1991,1996,DF,"Everton, Birmingham City, Sheffield United, Blackpool, Liverpool",No
Michael Abnett,https://fbref.com/en/players/09a4e73d/Michael-Abnett,2016,2017,MF,,No
Ken Aboh,https://fbref.com/en/players/282cee33/Ken-Aboh,2021,2026,FW,"Norwich City U21, Boston United, Stevenage",Yes
Tammy Abraham,https://fbref.com/en/players/f586779e/Tammy-Abraham,2015,2026,FW,"Beşiktaş, Roma, Chelsea, Bristol City, Milan, Swansea City, Aston Villa, England",Yes
Timmy Abraham,https://fbref.com/en/players/94ad5868/Timmy-Abraham,2018,2024,FW,"Fulham U23, Oldham Athletic, Newport County, Boreham Wood, Walsall, Raith Rovers, Bristol Rovers, Pl",No
Tristan Abrahams,https://fbref.com/en/players/cfd667ae/Tristan-Abrahams,2016,2026,"FW,MF","Aldershot Town, Newport County, Maidenhead United, Eastleigh, Leyton Orient, Carlisle United, Norwic",Yes
Kelvin Abrefa,https://fbref.com/en/players/ceabce33/Kelvin-Abrefa,2020,2026,DF,"Reading, Reading U23, Reading FC U21",Yes
Derrick Abu,https://fbref.com/en/players/a6f0688b/Derrick-Abu,2022,2025,DF,"Southampton U21, Harrogate Town FC, Chelsea U21",Yes
Oluwatosin Abudiore,https://fbref.com/en/players/423850f5/Oluwatosin-Abudiore,2023,,MF,,No
Anthony Acheampong,https://fbref.com/en/players/b8aaeeed/Anthony-Acheampong,2016,2017,DF,,No
Joshua Acheampong,https://fbref.com/en/players/b7e62e1d/Joshua-Acheampong,2023,2026,DF,"Chelsea, Chelsea U21",Yes
Mathew Achuba,https://fbref.com/en/players/c856c90c/Mathew-Achuba,2018,2026,DF,Hemel Hempstead Town FC,Yes
Joe Ackroyd,https://fbref.com/en/players/0f975a32/Joe-Ackroyd,2021,2025,DF,,No
Emile Acquah,https://fbref.com/en/players/9fa500fb/Emile-Acquah,2018,2026,"FW,MF","Dundee, Barrow, Maidenhead United, Southend United",Yes
Ben Acquaye,https://fbref.com/en/players/61343a8f/Ben-Acquaye,2021,2025,MF,Tamworth,No
Darren Acton,https://fbref.com/en/players/e78705b8/Darren-Acton,2016,2018,GK,,No
Finlay Adair,https://fbref.com/en/players/1e7f4fca/Finlay-Adair,2022,2025,FW,Preston North End,Yes
Blair Adams,https://fbref.com/en/players/739a0921/Blair-Adams,2011,2023,DF,"Coventry City, Notts County, Hartlepool United, Northampton Town, Mansfield Town, Cambridge United,",No
Charlee Adams,https://fbref.com/en/players/7d80136e/Charlee-Adams,2013,2024,"DF,FW","Maidenhead United, Barnet, Dagenham & Redbridge, Lincoln City, Kilmarnock",No
Charlie Adams,https://fbref.com/en/players/a6d6e9d0/Charlie-Adams,2012,2025,MF,"Colorado Springs Switchbacks, San Diego Loyal, Real Monarchs, Las Vegas Lights FC, Louisville City,",Yes
Danny Adams,https://fbref.com/en/players/0c3fe77a/Danny-Adams,2002,2010,DF,"Morecambe, Macclesfield Town, Huddersfield Town, Stockport County",No
Joe Adams,https://fbref.com/en/players/baa5c107/Joe-Adams,2023,2025,MF,Morecambe,Yes
Kielen Adams,https://fbref.com/en/players/453fa582/Kielen-Adams,2019,2020,FW,,No
Micky Adams,https://fbref.com/en/players/852a4f4d/Micky-Adams,1992,1994,DF,"Southampton, Fulham, Stoke City",No
Mo Adams,https://fbref.com/en/players/00362ef7/Mo-Adams,2018,2024,MF,"Atlanta United, Chicago Fire, Inter Miami, Al-Khaleej, Atlanta United 2",No
Nathan Adams,https://fbref.com/en/players/8b92606c/Nathan-Adams,2008,2010,FW,Lincoln City,No
Neil Adams,https://fbref.com/en/players/3ffdc43f/Neil-Adams,1992,1995,MF,"Norwich City, Oldham Athletic",No
Steve Adams,https://fbref.com/en/players/8e94ff0b/Steve-Adams,2002,2010,MF,"Plymouth Argyle, Sheffield Wednesday, Torquay United, Forest Green Rovers",No
Tony Adams,https://fbref.com/en/players/26b5e727/Tony-Adams,1991,2002,DF,"Arsenal, England",No
Bailey Adamson,https://fbref.com/en/players/be460621/Bailey-Adamson,2022,2023,FW,,No
Chris Adamson,https://fbref.com/en/players/57e7c20a/Chris-Adamson,2004,2010,GK,"West Bromwich Albion, Sheffield Wednesday",No
Fisayo Adarabioyo,https://fbref.com/en/players/3a4a234c/Fisayo-Adarabioyo,2015,2021,FW,"Oss, NAC Breda, Altrincham, Macclesfield Town",No
Tosin Adarabioyo,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,2015,2026,DF,"Chelsea, Fulham, Blackburn Rovers, West Bromwich Albion, Manchester City U23, Manchester City",Yes
Alex Addai,https://fbref.com/en/players/2ae8286c/Alex-Addai,2016,2022,FW,"Cheltenham Town, Solihull Moors, Maidenhead United, Torquay United",No
Angela Addison,https://fbref.com/en/players/4fdc46a1/Angela-Addison,2019,2022,MF,Tottenham Hotspur,No
Miles Addison,https://fbref.com/en/players/ccc9bd95/Miles-Addison,2005,2017,"DF,MF","Derby County, Bournemouth, Kilmarnock, Barnsley, Rotherham United, Blackpool, Scunthorpe United, Pet",No
Jordan Addo-Antoine,https://fbref.com/en/players/e7db44e3/Jordan-Addo-Antoine,2021,2022,DF,,No
TQ Addy,https://fbref.com/en/players/e14b3241/TQ-Addy,2020,2021,FW,,No
Elijah Adebayo,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,2017,2025,FW,"Luton Town, Walsall, Swindon Town, Fulham U23, Cheltenham Town",Yes
Iyiola Adebayo,https://fbref.com/en/players/2e246f81/Iyiola-Adebayo,2020,2021,MF,,No
Tobi Adebayo-Rowling,https://fbref.com/en/players/a60a16ce/Tobi-Adebayo-Rowling,2014,2026,"DF,MF","Rochdale, Sligo Rovers, Notts County, Bromley, Peterborough United",Yes
Rio Adebisi,https://fbref.com/en/players/94fe66e5/Rio-Adebisi,2019,2025,"DF,MF",Crewe Alexandra,Yes
Callum Adebiyi,https://fbref.com/en/players/6995d8e9/Callum-Adebiyi,2021,2025,DF,,No
Manny Adebowale,https://fbref.com/en/players/6b540029/Manny-Adebowale,2017,2023,DF,"Crawley Town, Dover Athletic",No
Victor Adeboyejo,https://fbref.com/en/players/e3c24495/Victor-Adeboyejo,2014,2025,FW,"Barnsley, Bolton Wanderers, Burton Albion, Bristol Rovers, Leyton Orient, Cambridge United",Yes
Prince Adegoke,https://fbref.com/en/players/84184bff/Prince-Adegoke,2021,2023,GK,,No
Dean Adekoya,https://fbref.com/en/players/ff060d9f/Dean-Adekoya,2023,2025,FW,Stoke City U21,Yes
Noah Adekoya,https://fbref.com/en/players/d2c3f844/Noah-Adekoya,2025,2026,DF,Burnley U21,Yes
Hakeeb Adelakun,https://fbref.com/en/players/042d182c/Hakeeb-Adelakun,2012,2026,"FW,MF","Cheltenham Town, Scunthorpe United, Lincoln City, Salford City FC, Gillingham, Doncaster Rovers, Hul",Yes
Tomi Adeloye,https://fbref.com/en/players/eb8afd9e/Tomi-Adeloye,2017,2026,FW,"Greenock Morton, Ayr United, Dagenham & Redbridge, Ebbsfleet United, Partick Thistle, Barnet, Swindo",Yes
Ben Adelsbury,https://fbref.com/en/players/70d12578/Ben-Adelsbury,2025,2026,MF,Truro City FC,Yes
Theodore Adelusi,https://fbref.com/en/players/5b67854d/Theodore-Adelusi,2024,2026,DF,"Norwich City U21, Norwich City",Yes
Charles Ademeno,https://fbref.com/en/players/9897f068/Charles-Ademeno,2006,2012,FW,"Crawley Town, Salisbury City, AFC Wimbledon, Grimsby Town, Rushden & Diamonds, Cambridge United, Sou",No
Michael Ademiluyi,https://fbref.com/en/players/d4be7dcd/Michael-Ademiluyi,2018,2024,FW,,No
Princess Ademiluyi,https://fbref.com/en/players/79196404/Princess-Ademiluyi,2022,2025,FW,West Ham United,Yes
Dennis Adeniran,https://fbref.com/en/players/506eff98/Dennis-Adeniran,2016,2026,MF,"Barnet, Sheffield Wednesday, Everton U23, Wycombe Wanderers, St Mirren, Fulham",Yes
Fuad Adeniyi,https://fbref.com/en/players/1e850425/Fuad-Adeniyi,2022,,DF,South Georgia Tormenta FC,No
Samuel Adenola,https://fbref.com/en/players/8f7ed762/Samuel-Adenola,2021,2026,DF,Hemel Hempstead Town FC,Yes
Oluwalopemiwa Aderoju,https://fbref.com/en/players/6402ac70/Oluwalopemiwa-Aderoju,2023,2025,FW,Boston United,Yes
Miracle Adewole,https://fbref.com/en/players/1340d1b1/Miracle-Adewole,2024,2026,DF,Tottenham Hotspur U21,Yes
Sam Adewusi,https://fbref.com/en/players/9cdc9840/Sam-Adewusi,2018,2019,MF,,No
Tom Adeyemi,https://fbref.com/en/players/e278cebf/Tom-Adeyemi,2009,2018,MF,"Oldham Athletic, Birmingham City, Bradford City, Brentford, Rotherham United, Leeds United, Cardiff",No
Ade Adeyemo,https://fbref.com/en/players/ceb7a48e/Ade-Adeyemo,2020,2026,MF,Crawley Town,Yes
Toby Adeyemo,https://fbref.com/en/players/80d9aac2/Toby-Adeyemo,2022,2024,FW,"Watford, Wealdstone FC",No
Jason Adigun,https://fbref.com/en/players/037dfa32/Jason-Adigun,2024,2026,MF,Chelmsford City FC,Yes
Dylan Adjei-Hersey,https://fbref.com/en/players/0b1becea/Dylan-Adjei-Hersey,2021,2023,MF,AFC Wimbledon,No
Kwame Adjeman-Pamboe,https://fbref.com/en/players/c55d43a6/Kwame-Adjeman-Pamboe,2010,2011,MF,Tampa Bay Rowdies,No
Sam Adkins,https://fbref.com/en/players/fd671a07/Sam-Adkins,2008,2010,MF,,No
Luis Adlard,https://fbref.com/en/players/97fdc7e5/Luis-Adlard,2020,2021,DF,Grimsby Town,No
Daniel Adshead,https://fbref.com/en/players/8f817fc7/Daniel-Adshead,2017,2025,MF,"Telstar, Cheltenham Town, Fylde, Norwich City U23, Gillingham, Rochdale, Boston United",Yes
Daniel Adu-Adjei,https://fbref.com/en/players/2093823e/Daniel-Adu-Adjei,2022,2026,FW,"Rijeka, Carlisle United, Leyton Orient",Yes
Michael Adu-Poku,https://fbref.com/en/players/e47141d7/Michael-Adu-Poku,2022,2026,FW,"Barrow, Solihull Moors, Rochdale, Watford",Yes
Les Afful,https://fbref.com/en/players/6e618102/Les-Afful,2005,2009,MF,"Forest Green Rovers, Torquay United",No
Chisom Afoka,https://fbref.com/en/players/515507a7/Chisom-Afoka,2020,2024,FW,"Aston Villa U21, Aston Villa U23, Bradford City",No
Oladapo Afolayan,https://fbref.com/en/players/5054c359/Oladapo-Afolayan,2017,2026,"FW,MF","St Pauli, Bolton Wanderers, West Ham United U23, Oldham Athletic, Mansfield Town",Yes
Kieran Agard,https://fbref.com/en/players/a6c9bf1c/Kieran-Agard,2009,2023,"FW,MF","Milton Keynes Dons, Rotherham United, Bristol City, Doncaster Rovers, Yeovil Town, Plymouth Argyle,",No
Asher Agbinone,https://fbref.com/en/players/6a10efb3/Asher-Agbinone,2023,2026,MF,"Crystal Palace U21, Gillingham",Yes
Gabriel Agbonlahor,https://fbref.com/en/players/db80f5f1/Gabriel-Agbonlahor,2005,2018,"FW,MF","Aston Villa, Sheffield Wednesday",No
David Agbontohoma,https://fbref.com/en/players/e56c5673/David-Agbontohoma,2019,2025,DF,"Boreham Wood, Southampton U23",No
Manny Agboola,https://fbref.com/en/players/f381c1de/Manny-Agboola,2016,2020,GK,,No
Michael Agboola,https://fbref.com/en/players/fc1aed36/Michael-Agboola,2019,2024,MF,"Wolverhampton Wanderers U23, Lexington SC",No
Benjamin Aghadiuno,https://fbref.com/en/players/8cadd783/Benjamin-Aghadiuno,2017,2018,FW,,No
Osazee Aghatise,https://fbref.com/en/players/fff20409/Osazee-Aghatise,2020,2024,MF,"Derby County U23, Derby County U21, Hartlepool United, Derby County",Yes
Sam Agius,https://fbref.com/en/players/8d5e1cb7/Sam-Agius,2018,2020,GK,,No
Liam Agnew,https://fbref.com/en/players/0b93efcd/Liam-Agnew,2014,2021,MF,Harrogate,No
Steve Agnew,https://fbref.com/en/players/23d5ce02/Steve-Agnew,1994,1997,MF,"Sunderland, Leicester City, Portsmouth",No
Harry Agombar,https://fbref.com/en/players/59e83b25/Harry-Agombar,2009,2015,FW,Grays Athletic,No
Ricky Aguiar,https://fbref.com/en/players/81ef747a/Ricky-Aguiar,2021,2025,MF,"Swindon Town, York City",Yes
Dan Agyei,https://fbref.com/en/players/5c374509/Dan-Agyei,2014,2026,"FW,MF","Kocaelispor, Oxford United, Leyton Orient, Crewe Alexandra, Walsall, Coventry City, Blackpool, Burnl",Yes
Michelle Agyemang,https://fbref.com/en/players/1203e2c8/Michelle-Agyemang,2022,2026,FW,"Brighton & Hove Albion, England, Arsenal",Yes
Montel Agyemang,https://fbref.com/en/players/11f68bb8/Montel-Agyemang,2014,2025,MF,,No
Terrell Agyemang,https://fbref.com/en/players/3f7700d8/Terrell-Agyemang,2022,2026,MF,"Wealdstone FC, Morecambe, Hartlepool United, Manchester City U21, Airdrieonians, Middlesbrough U21",Yes
Alyssa Aherne,https://fbref.com/en/players/b870ea8d/Alyssa-Aherne,2023,2024,MF,,No
Arash Ahmadi,https://fbref.com/en/players/6b229389/Arash-Ahmadi,2018,2019,DF,,No
Shahed Ahmed,https://fbref.com/en/players/912f45d7/Shahed-Ahmed,2004,2005,FW,Wycombe Wanderers,No
Yusuf Ahmed,https://fbref.com/en/players/10beb30b/Yusuf-Ahmed,2025,2026,FW,Birmingham City U21,Yes
Elicha Ahui,https://fbref.com/en/players/583f1a50/Elicha-Ahui,2022,2025,DF,"Drogheda United, Ayr United",Yes
Theo Ahwieh,https://fbref.com/en/players/93d5adfd/Theo-Ahwieh,2017,2018,,,No
Nelson Aideyan,https://fbref.com/en/players/40041b18/Nelson-Aideyan,2022,2023,MF,,No
Kasim Aidoo,https://fbref.com/en/players/522f03a2/Kasim-Aidoo,2025,2026,DF,Chatham Town FC,Yes
Will Aimson,https://fbref.com/en/players/4f71beda/Will-Aimson,2013,2026,DF,"Wigan Athletic, Exeter City, Blackpool, Plymouth Argyle, Bury, Bolton Wanderers, Tamworth",Yes
Jordan Aina,https://fbref.com/en/players/57731a14/Jordan-Aina,2018,2021,DF,Fulham U23,No
Simon Ainge,https://fbref.com/en/players/0fc0fbab/Simon-Ainge,2006,2020,DF,"FC Halifax Town, Luton Town, Bradford City, Halifax Town, Wrexham",No
Callum Ainley,https://fbref.com/en/players/836e8740/Callum-Ainley,2015,2025,MF,"Crewe Alexandra, Grimsby Town",Yes
Jack Ainsley,https://fbref.com/en/players/7f4a3f3a/Jack-Ainsley,2009,2013,DF,Ipswich Town,No
